NAME,SMILES,FF,TEMP,DIEPS,DENSITY
WATER,O,tip3p-1.0.1.offxml,298,78.375,0.997
WATER,O,tip3p_fb-1.1.1.offxml,298,78.375,0.997
WATER,O,opc3-1.0.1.offxml,298,78.375,0.997
WATER,O,spce-1.0.0.offxml,298,78.375,0.997
