NAME,SMILES,PROPERTY
DTXSID90497440,CC(=C)CC(O)(C(F)(F)F)C(F)(F)F,0.000188799
DTXSID60382112,NC(=O)C(F)(Cl)C(F)(F)F,0.0074131
DTXSID40412769,CCOC1=CC=CC=C1N1C(=S)NN=C1C1=CC(OC(F)(F)C(F)F)=CC=C1,4.19759E-07
DTXSID30563299,OCC(O)COCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.05196E-05
DTXSID50371510,FC1(F)CC(Cl)C1(F)F,0.00231739
DTXSID60565827,C[Si](C)(C)OC(C1=CC=CC=C1)(C(F)(F)F)C(F)(F)F,3.39625E-06
DTXSID80506994,FC(F)(F)N1C(F)(F)C(F)(F)C(F)(F)C1(F)F,0.000389045
DTXSID90382620,OC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.34423E-06
DTXSID3062027,CCOC(=O)CN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.68978E-07
DTXSID50381038,OCC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.46893E-05
DTXSID90382069,CC(=O)CC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.07895E-05
DTXSID80527008,CC(C)OCC(F)(F)C(F)F,0.000693426
DTXSID40339447,CCC(F)(F)C(F)(F)C1CC(F)(F)C1(F)F,3.35738E-05
DTXSID40751660,FC(F)(F)C(F)(F)C(F)(F)C(=O)OC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl,5.80764E-08
DTXSID40614988,FC(F)(C(F)(F)C(F)(F)C(F)(F)S(F)(=O)=O)C(F)(F)C(F)(F)S(F)(=O)=O,1.79473E-06
DTXSID60476080,FC(F)(Cl)C(F)(F)C(F)(F)C(F)(F)CC1CCC(=O)O1,4.3451E-05
DTXSID60527445,CCOCC(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5.30884E-05
DTXSID90578647,FC(F)(F)C(CC(F)(F)C(F)(F)F)C(F)(F)F,9.52796E-06
DTXSID80184039,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)C=C,1.43549E-05
DTXSID00774092,OCCN(CCO)CC(O)CC(F)(F)C(F)(F)C(F)(F)F,0.000494311
DTXSID90544908,COC(=O)C(F)(F)C(F)(Cl)C(F)(F)Cl,0.000416869
DTXSID20612962,FC(F)(F)C1(OCC(COC(C2=CC=CC=C2)C2=CC=CC=C2)O1)C(F)(F)F,2.47172E-06
DTXSID40699730,FC(F)(F)C(F)(OCCCCBr)C(F)(F)F,4.35512E-05
DTXSID10190946,FC(F)(F)C(F)(F)C(F)(F)C=O,0.00116681
